Source,Target,Weight,Type
И.Г.Морозов,ЕкатеринаII,1,directed
И.Г.Морозов,И.В.Приклонский,1,directed
И.Г.Морозов,Ф.О.Туманский,1,directed
И.Г.Морозов,А.В.Храповицкий,1,directed
И.Г.Морозов,И.И.Шувалов,1,directed
С.А.Москотильников,Г.П.Каменев,1,directed
С.А.Москотильников,Н.М.Карамзин,1,directed
С.А.Москотильников,И.В.Лопухин,1,directed
С.А.Москотильников,М.И.Невзоров,1,directed
С.А.Москотильников,Н.И.Новиков,1,directed
С.А.Москотильников,И.П.Тургенев,1,directed
Н.Н.Мотонис,С.И.Волков,1,directed
Н.Н.Мотонис,Ф.Г.Волков,1,directed
Н.Н.Мотонис,Г.В.Козицкий,1,directed
Н.Н.Мотонис,В.Лащевский,1,directed
Н.Н.Мотонис,А.Л.Леонтьев,1,directed
Н.Н.Мотонис,М.В.Ломоносов,1,directed
Н.Н.Мотонис,А.М.Разумов,1,directed
Н.Н.Мотонис,И.К.Россохин,1,directed
Н.Н.Мотонис,А.П.Сумароков,1,directed
И.К.Мошков,В.Г.Рубан,1,directed
Н.Е.Муравьев,Н.А.Бекетов,1,directed
Н.Е.Муравьев,И.П.Степанов,1,directed
А.И.Мусин-Пушкин,Н.Н.Бантыш-Каменский,1,directed
А.И.Мусин-Пушкин,И.Н.Болтин,1,directed
А.И.Мусин-Пушкин,Е.Булгарис,1,directed
А.И.Мусин-Пушкин,В.И.Верещагин,1,directed
А.И.Мусин-Пушкин,ЕкатеринаII,1,directed
А.И.Мусин-Пушкин,И.П.Елагин,1,directed
А.И.Мусин-Пушкин,Н.М.Карамзин,1,directed
А.И.Мусин-Пушкин,П.Н.Крекшин,1,directed
А.И.Мусин-Пушкин,А.Ф.Малиновский,1,directed
А.И.Мусин-Пушкин,С.Г.Миславский,1,directed
А.И.Мусин-Пушкин,А.П.Сумароков,1,directed
А.И.Мусин-Пушкин,В.Н.Татищев,1,directed
А.Е.Мусин-Пушкин,Е.Р.Дашкова,1,directed
А.Е.Мусин-Пушкин,М.М.Херасков,1,directed
А.П.Назарьев,ЕкатеринаII,1,directed
С.Ф.Наковальнин,И.Кременецкий,1,directed
С.Ф.Наковальнин,Н.И.Новиков,1,directed
С.Ф.Наковальнин,Е.Прокопович,1,directed
А.К.Нартов,И.И.Голиков,1,directed
А.К.Нартов,М.В.Ломоносов,1,directed
А.К.Нартов,А.А.Нартов,1,directed
Я.Ф.Нарцискин,ЕкатеринаII,1,directed
Я.Ф.Нарцискин,И.И.Мелиссино,1,directed
Я.Ф.Нарцискин,В.С.Попов,1,directed
Я.Ф.Нарцискин,И.И.Шувалов,1,directed
А.В.Нарышкин,М.Н.Баккаревич,1,directed
А.В.Нарышкин,А.Р.Воронцов,1,directed
А.В.Нарышкин,С.И.Глебов,1,directed
А.В.Нарышкин,Г.Р.Державин,1,directed
А.В.Нарышкин,С.Г.Домашнев,1,directed
А.В.Нарышкин,ЕкатеринаII,1,directed
А.В.Нарышкин,В.Т.Золотницкий,1,directed
А.В.Нарышкин,А.А.Нартов,1,directed
А.В.Нарышкин,С.В.Нарышкин,1,directed
А.В.Нарышкин,Ю.А.Нелединский-Мелецкий,1,directed
А.В.Нарышкин,А.Н.Радищев,1,directed
А.В.Нарышкин,А.А.Ржевский,1,directed
А.В.Нарышкин,А.П.Сумароков,1,directed
А.В.Нарышкин,М.М.Херасков,1,directed
С.В.Нарышкин,С.И.Глебов,1,directed
С.В.Нарышкин,ЕкатеринаII,1,directed
С.В.Нарышкин,А.В.Нарышкин,1,directed
С.В.Нарышкин,Н.И.Новиков,1,directed
С.В.Нарышкин,А.А.Ржевский,1,directed
С.В.Нарышкин,Е.П.Рунич,1,directed
С.В.Нарышкин,М.М.Херасков,1,directed
В.Наумов,Н.Н.Николев,1,directed
